question,answer,predicted_answer,relation,correct
"In: Question: 
Is the small yellow metal sphere to the right of the small blue rubber sphere?Answer:
Out:",No,no,right,True
"In: Question: 
Is the small red rubber sphere to the left of the large brown metal sphere?Answer:
Out:",No,no,left,True
"In: Question: 
Is the small yellow cylinder behind the small red rubber sphere?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the large gray cylinder to the left of the small blue rubber sphere?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small yellow cylinder in front of the large brown rubber sphere?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the sphere to the left of the large blue metal cube?Answer:
Out:",No,no,left,True
"In: Question: 
Is the sphere to the right of the large purple cylinder?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the large gray sphere to the left of the cube?Answer:
Out:",No,no,left,True
"In: Question: 
Is the large green metal cylinder to the left of the large gray metal cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the large gray sphere in front of the cube?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the large red metal cube to the left of the small brown metal sphere?Answer:
Out:",No,no,left,True
"In: Question: 
Is the large purple metal sphere to the right of the small brown metal sphere?Answer:
Out:",No,no,right,True
"In: Question: 
Is the small red metal cube in front of the small brown metal sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large yellow rubber sphere to the left of the small blue rubber cube?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the large yellow rubber sphere to the left of the small red metal cube?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the large cyan sphere in front of the large cyan rubber cube?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the small purple metal cube in front of the large cyan sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large green sphere behind the small purple metal cube?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the large cyan rubber cube in front of the cylinder?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large blue metal cylinder to the left of the small green rubber cube?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small cyan rubber cylinder behind the small blue rubber cube?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the small red rubber cylinder in front of the small blue rubber cube?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small cyan rubber cylinder behind the large gray metal cube?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the small purple metal cylinder to the right of the small green metal cylinder?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the small gray rubber cylinder to the left of the sphere?Answer:
Out:",No,yes,left,False
"In: Question: 
Is the small gray rubber cylinder behind the small green metal cylinder?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the  cyan rubber sphere behind the cylinder?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the  cyan rubber sphere to the right of the  green metal cube?Answer:
Out:",No,no,right,True
"In: Question: 
Is the large cyan rubber cylinder behind the small yellow rubber cylinder?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the small yellow rubber cylinder behind the large cyan rubber cylinder?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small green rubber cube to the right of the  yellow cylinder?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the large cyan metal cube to the left of the  yellow cylinder?Answer:
Out:",No,no,left,True
"In: Question: 
Is the large cyan metal cube to the left of the sphere?Answer:
Out:",No,no,left,True
"In: Question: 
Is the  cyan cube in front of the  brown cube?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large red metal sphere behind the small green rubber sphere?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small gray metal sphere to the right of the large purple metal sphere?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the large yellow metal sphere in front of the large cyan cylinder?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large gray rubber sphere behind the small gray cylinder?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the large cyan cylinder behind the cube?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the cube in front of the small blue metal cylinder?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large yellow cylinder to the right of the small gray rubber sphere?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the small gray rubber sphere to the left of the small cyan cylinder?Answer:
Out:",No,yes,left,False
"In: Question: 
Is the large blue metal sphere behind the large green cylinder?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the  green rubber cylinder behind the large cube?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the  gray sphere to the right of the  yellow sphere?Answer:
Out:",No,no,right,True
"In: Question: 
Is the  green rubber sphere to the right of the small brown rubber cylinder?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the  blue metal sphere to the left of the  green rubber sphere?Answer:
Out:",No,no,left,True
"In: Question: 
Is the small cube in front of the small cyan rubber cylinder?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small cyan rubber cylinder behind the small cyan rubber sphere?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small cyan rubber sphere to the left of the large cube?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the large blue metal sphere in front of the small yellow metal sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the  yellow cylinder behind the large yellow metal sphere?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the cube to the left of the small yellow metal sphere?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the large yellow metal sphere behind the  purple cylinder?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the small cyan metal sphere in front of the small red rubber sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small cyan metal sphere behind the small gray metal sphere?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the sphere in front of the  cyan cube?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small yellow cylinder to the left of the sphere?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the large purple metal cylinder to the right of the large yellow rubber cylinder?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the large cyan metal cylinder behind the small cyan metal cylinder?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the large yellow metal cylinder to the left of the small cyan rubber cylinder?Answer:
Out:",No,no,left,True
"In: Question: 
Is the small cyan cube behind the large green cube?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the  cyan metal cube in front of the small red sphere?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the small brown sphere in front of the large red sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large red metal sphere behind the small cyan metal sphere?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small cyan metal sphere behind the  brown cylinder?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the  brown cylinder to the right of the small gray cube?Answer:
Out:",No,no,right,True
"In: Question: 
Is the  cyan cylinder in front of the large gray cube?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the small gray cube in front of the small cyan metal sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the  purple cylinder behind the large blue metal sphere?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the large brown rubber sphere to the right of the  purple cylinder?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the  gray cylinder behind the large blue metal sphere?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the cylinder behind the large blue metal sphere?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the  green metal cylinder to the left of the sphere?Answer:
Out:",No,no,left,True
"In: Question: 
Is the  red metal cylinder in front of the  brown metal cylinder?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the  gray sphere in front of the cube?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the large blue metal cylinder to the left of the cube?Answer:
Out:",No,no,left,True
"In: Question: 
Is the small blue rubber sphere in front of the large green metal cylinder?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the large green metal cylinder to the right of the small blue rubber sphere?Answer:
Out:",No,no,right,True
"In: Question: 
Is the small red metal cylinder to the right of the small green rubber cylinder?Answer:
Out:",No,no,right,True
"In: Question: 
Is the small green rubber cylinder behind the large purple metal cylinder?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the  blue cube to the right of the small yellow rubber sphere?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the large blue cube to the left of the  red cylinder?Answer:
Out:",No,no,left,True
"In: Question: 
Is the  cyan cylinder to the left of the  red cylinder?Answer:
Out:",No,yes,left,False
"In: Question: 
Is the  red cylinder to the left of the small brown rubber sphere?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the  red cylinder in front of the large gray metal sphere?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the small red rubber cylinder to the left of the small red cube?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small red cube to the right of the small cyan cube?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the small cyan cube to the right of the small red rubber cylinder?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the small cube in front of the small brown metal cylinder?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the cube in front of the large purple rubber cylinder?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the small yellow metal sphere to the left of the large blue metal cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small yellow metal sphere to the right of the large purple rubber sphere?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the small yellow metal sphere to the right of the small green rubber cylinder?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the small green rubber cylinder in front of the large yellow metal cylinder?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the large purple rubber sphere in front of the small blue rubber sphere?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the large gray rubber sphere in front of the large red rubber sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small purple metal sphere in front of the small blue rubber sphere?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the small green cylinder to the left of the small green metal sphere?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small green cylinder behind the small purple metal sphere?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the small blue rubber sphere to the right of the small purple metal sphere?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the small green cylinder behind the small blue metal sphere?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the  green cylinder behind the  red metal sphere?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the  yellow metal sphere to the left of the  brown rubber sphere?Answer:
Out:",No,no,left,True
"In: Question: 
Is the small brown metal cube behind the small cyan rubber cube?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small cyan rubber cube to the left of the large blue rubber cube?Answer:
Out:",No,yes,left,False
"In: Question: 
Is the small purple rubber cylinder to the right of the small brown metal cube?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the large blue rubber cube to the left of the  purple sphere?Answer:
Out:",No,yes,left,False
"In: Question: 
Is the large yellow rubber cylinder in front of the small cyan rubber cube?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the large blue metal sphere to the right of the small brown cylinder?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the small brown rubber sphere to the right of the large cyan metal cube?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the small cyan cylinder to the left of the large blue metal sphere?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small cyan cylinder in front of the small green rubber cube?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large blue rubber cube to the right of the large cyan metal cube?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the large cyan metal cube in front of the large blue metal sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large blue rubber cube to the right of the small green rubber cube?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the sphere to the left of the small brown metal cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small brown metal cylinder behind the large gray rubber cylinder?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the  gray rubber cube to the right of the sphere?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the small gray rubber cylinder in front of the  gray rubber cube?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the cube behind the large yellow metal cylinder?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the large yellow metal cylinder to the right of the small red rubber cylinder?Answer:
Out:",No,no,right,True
"In: Question: 
Is the small red rubber cylinder to the left of the large brown metal sphere?Answer:
Out:",No,no,left,True
"In: Question: 
Is the cube to the right of the large purple metal cylinder?Answer:
Out:",No,no,right,True
"In: Question: 
Is the small purple rubber cylinder in front of the large brown rubber sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large purple metal cylinder in front of the large red metal sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large green metal sphere to the right of the small purple rubber cylinder?Answer:
Out:",No,no,right,True
"In: Question: 
Is the small green metal sphere in front of the small red metal cylinder?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small green metal sphere behind the large green metal sphere?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the  green sphere in front of the  blue sphere?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the large green rubber sphere to the left of the large brown rubber sphere?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small yellow rubber sphere in front of the large red cube?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the large green rubber sphere behind the large cyan cube?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small green metal sphere to the right of the small yellow rubber sphere?Answer:
Out:",No,no,right,True
"In: Question: 
Is the small brown cube to the left of the large green rubber sphere?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the large green rubber sphere to the right of the small brown cube?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the large brown rubber sphere to the left of the large brown metal cylinder?Answer:
Out:",No,no,left,True
"In: Question: 
Is the  yellow metal cube behind the large yellow metal sphere?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the large purple rubber cylinder in front of the  brown metal cube?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large purple rubber cylinder to the left of the  brown metal cube?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the large blue metal sphere in front of the large yellow metal sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small red rubber sphere in front of the large purple rubber cylinder?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the  yellow rubber cube to the left of the large yellow metal cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the  purple metal cube to the left of the large yellow metal cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the large blue rubber sphere in front of the  blue metal cylinder?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the  blue metal cylinder to the left of the large gray metal sphere?Answer:
Out:",No,no,left,True
"In: Question: 
Is the small gray rubber sphere to the left of the large blue rubber sphere?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the  cyan metal cube behind the  green rubber cylinder?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the  blue metal cube to the right of the  blue rubber cylinder?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the  yellow metal cylinder to the right of the large brown rubber sphere?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the  blue metal cube in front of the small gray metal sphere?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the  blue rubber cylinder behind the large brown rubber sphere?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the large cyan rubber sphere in front of the large purple metal sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large purple metal sphere behind the large brown metal sphere?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small gray rubber cube behind the large cyan rubber sphere?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the large yellow metal cube in front of the small cyan rubber cube?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the large purple metal sphere behind the large yellow metal cube?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the large purple rubber sphere in front of the large brown rubber cube?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the cylinder in front of the large red metal sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large red metal sphere behind the small cyan metal sphere?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small gray metal cylinder to the left of the  gray cube?Answer:
Out:",No,yes,left,False
"In: Question: 
Is the  green rubber sphere behind the  gray cube?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the  gray cube to the left of the large blue rubber cylinder?Answer:
Out:",No,no,left,True
"In: Question: 
Is the large purple rubber cylinder to the left of the large cyan rubber sphere?Answer:
Out:",No,yes,left,False
"In: Question: 
Is the large cyan rubber sphere to the right of the small yellow metal cylinder?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the small brown rubber cylinder to the right of the large blue rubber cylinder?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the large blue rubber cylinder to the right of the large red metal sphere?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the large blue rubber cylinder in front of the large purple rubber cylinder?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large cyan rubber sphere in front of the cube?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small purple metal cylinder to the left of the cube?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the large cyan rubber cylinder to the left of the small gray metal cylinder?Answer:
Out:",No,no,left,True
"In: Question: 
Is the small gray metal cylinder to the left of the small cube?Answer:
Out:",Yes,no,left,False
"In: Question: 
Is the large cyan rubber cylinder behind the large cube?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the large brown rubber cube behind the small yellow metal cube?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the large blue rubber sphere in front of the small yellow metal sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large blue rubber sphere behind the small yellow metal sphere?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the large blue cylinder in front of the  brown metal cube?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small blue rubber sphere to the left of the small cyan metal sphere?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small cylinder to the left of the large red rubber sphere?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the cylinder in front of the large gray rubber cube?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the cylinder to the right of the small red metal cube?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the small rubber cube to the left of the small cyan metal cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the large blue rubber sphere in front of the small green rubber sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large metal cube to the left of the small cyan metal cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small rubber cube to the left of the large blue metal cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small gray metal cube behind the small yellow rubber cube?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the large green sphere in front of the cylinder?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the sphere to the left of the small brown rubber cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the large cyan metal cylinder to the left of the sphere?Answer:
Out:",No,no,left,True
"In: Question: 
Is the cube in front of the  metal sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large cyan rubber cylinder in front of the cube?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small brown sphere in front of the cylinder?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the small brown rubber cube to the left of the large purple sphere?Answer:
Out:",No,yes,left,False
"In: Question: 
Is the large purple sphere to the right of the large green rubber cube?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the large purple sphere to the left of the cylinder?Answer:
Out:",No,no,left,True
"In: Question: 
Is the small cyan metal cylinder to the right of the small red metal cube?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the small yellow metal cylinder in front of the small gray rubber cylinder?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the large gray rubber cube behind the small cyan metal cylinder?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small yellow metal cylinder to the right of the small green rubber cylinder?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the small green rubber cylinder in front of the small yellow metal cylinder?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small red rubber sphere to the right of the large gray metal sphere?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the small cyan metal sphere to the right of the large gray metal sphere?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the large red rubber cylinder in front of the  blue metal cube?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the large red rubber cylinder to the right of the small cyan metal sphere?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the large red rubber cylinder in front of the small red rubber sphere?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the large purple rubber cube to the right of the large brown rubber cylinder?Answer:
Out:",No,no,right,True
"In: Question: 
Is the small green rubber cylinder to the right of the small yellow metal cube?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the large brown rubber cylinder to the left of the large brown metal cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small gray rubber cube to the right of the small brown metal cube?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the large purple rubber cube to the right of the small red rubber sphere?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the  green metal sphere behind the large brown metal cylinder?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the  cyan metal sphere to the right of the small gray rubber cylinder?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the large gray cube to the left of the small gray rubber cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the large cyan rubber cube to the left of the small red metal sphere?Answer:
Out:",No,yes,left,False
"In: Question: 
Is the small brown metal sphere behind the large yellow rubber sphere?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small gray metal sphere to the right of the small red metal sphere?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the small red metal sphere in front of the large red metal cube?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large yellow rubber sphere in front of the small brown metal sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large red metal cube in front of the small brown metal sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small brown metal sphere in front of the small blue rubber sphere?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the small yellow cube behind the large brown cube?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small green rubber sphere to the right of the small red metal sphere?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the  metal cube to the right of the  purple metal sphere?Answer:
Out:",No,no,right,True
"In: Question: 
Is the  rubber cube in front of the  metal cube?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small blue metal cylinder behind the  rubber cube?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small cyan rubber cube to the left of the small purple metal sphere?Answer:
Out:",No,no,left,True
"In: Question: 
Is the large brown metal sphere in front of the large yellow rubber sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the  brown cylinder behind the  gray cylinder?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the large brown metal cube to the left of the  gray cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the  yellow sphere in front of the  red sphere?Answer:
Out:",No,yes,in front of,False
