question,answer,predicted_answer,relation,correct
"Question: <image>
Is the large brown metal cylinder in front of the large yellow metal cylinder?Answer:",No,no,in front of,True
"Question: <image>
Is the large blue rubber cylinder to the left of the small green metal cylinder?Answer:",No,no,left,True
"Question: <image>
Is the large red metal cylinder in front of the small green metal cylinder?Answer:",Yes,no,in front of,False
"Question: <image>
Is the  brown rubber sphere to the right of the cylinder?Answer:",No,no,right,True
"Question: <image>
Is the small brown metal sphere behind the large brown metal cube?Answer:",No,no,behind,True
"Question: <image>
Is the small purple metal sphere behind the large cyan rubber sphere?Answer:",Yes,no,behind,False
"Question: <image>
Is the large brown metal cube to the left of the small green rubber cube?Answer:",Yes,yes,left,True
"Question: <image>
Is the small yellow metal cube to the right of the small cylinder?Answer:",Yes,no,right,False
"Question: <image>
Is the large cylinder to the right of the large green rubber cube?Answer:",No,yes,right,False
"Question: <image>
Is the large cyan metal cube to the left of the large cylinder?Answer:",No,yes,left,False
"Question: <image>
Is the  blue cube in front of the large brown metal cylinder?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small cyan metal cylinder to the right of the  purple cube?Answer:",Yes,no,right,False
"Question: <image>
Is the small green rubber cylinder to the right of the  blue cube?Answer:",Yes,no,right,False
"Question: <image>
Is the small cyan metal cylinder in front of the  blue cube?Answer:",No,no,in front of,True
"Question: <image>
Is the small blue metal sphere to the left of the small metal cylinder?Answer:",No,no,left,True
"Question: <image>
Is the large rubber cylinder to the right of the small blue metal sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the small cyan rubber sphere to the right of the small metal cylinder?Answer:",Yes,yes,right,True
"Question: <image>
Is the large yellow rubber cylinder behind the large red cube?Answer:",Yes,no,behind,False
"Question: <image>
Is the large purple rubber cylinder to the left of the sphere?Answer:",Yes,no,left,False
"Question: <image>
Is the  red rubber cube to the left of the large green cylinder?Answer:",No,no,left,True
"Question: <image>
Is the large blue rubber sphere behind the small cyan metal sphere?Answer:",No,no,behind,True
"Question: <image>
Is the small cyan metal sphere behind the large brown rubber sphere?Answer:",Yes,no,behind,False
"Question: <image>
Is the small yellow metal sphere to the right of the  blue cylinder?Answer:",No,no,right,True
"Question: <image>
Is the large blue rubber sphere in front of the large cyan metal sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small cyan metal cylinder to the left of the large yellow cube?Answer:",Yes,no,left,False
"Question: <image>
Is the large yellow cube in front of the small purple rubber cylinder?Answer:",No,no,in front of,True
"Question: <image>
Is the large yellow cube behind the small cyan metal cylinder?Answer:",No,no,behind,True
"Question: <image>
Is the large yellow cube to the right of the small green cube?Answer:",Yes,no,right,False
"Question: <image>
Is the small cyan metal cylinder to the right of the large blue cube?Answer:",No,no,right,True
"Question: <image>
Is the large yellow sphere to the right of the  gray cylinder?Answer:",Yes,no,right,False
"Question: <image>
Is the large brown rubber cylinder to the left of the large blue metal sphere?Answer:",No,no,left,True
"Question: <image>
Is the large brown rubber cylinder in front of the large green metal cylinder?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small red cylinder behind the large purple cylinder?Answer:",No,no,behind,True
"Question: <image>
Is the large yellow sphere to the left of the cube?Answer:",No,no,left,True
"Question: <image>
Is the small gray rubber cube to the right of the large cyan metal cube?Answer:",No,no,right,True
"Question: <image>
Is the small purple metal cylinder to the right of the small purple rubber sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the small gray rubber cube in front of the small green rubber sphere?Answer:",No,no,in front of,True
"Question: <image>
Is the small gray rubber cube to the left of the small red metal cube?Answer:",Yes,no,left,False
"Question: <image>
Is the large green metal sphere to the left of the small yellow rubber sphere?Answer:",Yes,no,left,False
"Question: <image>
Is the small red sphere behind the  red metal cube?Answer:",Yes,no,behind,False
"Question: <image>
Is the small cyan metal cylinder to the left of the large green metal cylinder?Answer:",No,no,left,True
"Question: <image>
Is the  gray rubber cube to the right of the large red sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the large green metal cylinder behind the  gray rubber cube?Answer:",Yes,no,behind,False
"Question: <image>
Is the small cyan metal cylinder to the right of the small blue sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the sphere to the left of the  purple metal cube?Answer:",No,no,left,True
"Question: <image>
Is the small red rubber cube behind the large yellow rubber cube?Answer:",Yes,no,behind,False
"Question: <image>
Is the small brown rubber cube to the right of the small green rubber cube?Answer:",No,no,right,True
"Question: <image>
Is the small red rubber cube behind the cylinder?Answer:",No,no,behind,True
"Question: <image>
Is the  gray rubber sphere to the left of the small green rubber cube?Answer:",No,no,left,True
"Question: <image>
Is the  red rubber sphere in front of the  green metal sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the  green metal sphere to the right of the  cyan rubber cylinder?Answer:",No,no,right,True
"Question: <image>
Is the  cyan rubber cylinder to the right of the  red rubber sphere?Answer:",No,no,right,True
"Question: <image>
Is the  red rubber sphere in front of the  purple metal cylinder?Answer:",Yes,no,in front of,False
"Question: <image>
Is the  green metal cylinder behind the  cyan rubber sphere?Answer:",Yes,no,behind,False
"Question: <image>
Is the  green cube behind the  green cylinder?Answer:",No,no,behind,True
"Question: <image>
Is the  green cylinder to the left of the  red cube?Answer:",Yes,no,left,False
"Question: <image>
Is the large brown metal sphere behind the  purple cylinder?Answer:",No,no,behind,True
"Question: <image>
Is the large purple metal cube to the right of the  purple cylinder?Answer:",No,no,right,True
"Question: <image>
Is the  purple cylinder to the right of the large purple metal cube?Answer:",Yes,no,right,False
"Question: <image>
Is the small green rubber cylinder to the left of the  gray metal sphere?Answer:",No,no,left,True
"Question: <image>
Is the large green metal cylinder in front of the small blue metal cylinder?Answer:",No,no,in front of,True
"Question: <image>
Is the large cyan rubber cylinder in front of the  cyan rubber sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the large gray metal cylinder to the right of the  gray metal sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the large gray metal cylinder to the left of the small blue metal sphere?Answer:",No,no,left,True
"Question: <image>
Is the small blue metal sphere behind the large gray metal cylinder?Answer:",Yes,no,behind,False
"Question: <image>
Is the small blue metal sphere in front of the large blue metal sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small blue metal sphere to the right of the large gray metal cylinder?Answer:",No,no,right,True
"Question: <image>
Is the small gray rubber cylinder behind the small purple rubber cube?Answer:",No,yes,behind,False
"Question: <image>
Is the small cyan rubber cube behind the large cyan rubber cylinder?Answer:",Yes,no,behind,False
"Question: <image>
Is the small gray rubber cylinder to the left of the small brown rubber cube?Answer:",No,yes,left,False
"Question: <image>
Is the small cyan rubber cube to the left of the small gray rubber cylinder?Answer:",Yes,no,left,False
"Question: <image>
Is the large cyan rubber cylinder behind the large brown metal cube?Answer:",Yes,no,behind,False
"Question: <image>
Is the  yellow rubber cylinder behind the  yellow sphere?Answer:",No,yes,behind,False
"Question: <image>
Is the  blue sphere to the left of the  yellow sphere?Answer:",Yes,no,left,False
"Question: <image>
Is the  green rubber cube behind the  blue metal cube?Answer:",Yes,no,behind,False
"Question: <image>
Is the  cyan cylinder to the left of the  blue sphere?Answer:",No,no,left,True
"Question: <image>
Is the  blue sphere behind the  green rubber cube?Answer:",Yes,yes,behind,True
"Question: <image>
Is the small yellow metal cylinder to the left of the small cyan rubber cylinder?Answer:",Yes,no,left,False
"Question: <image>
Is the small cyan rubber cylinder in front of the small gray metal cube?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small gray metal cube in front of the small yellow metal cylinder?Answer:",No,no,in front of,True
"Question: <image>
Is the large gray rubber cube behind the large purple rubber cylinder?Answer:",Yes,no,behind,False
"Question: <image>
Is the large blue rubber cube behind the large gray rubber cube?Answer:",No,no,behind,True
"Question: <image>
Is the small yellow metal cylinder to the right of the small metal sphere?Answer:",No,no,right,True
"Question: <image>
Is the large blue rubber cube to the left of the large purple rubber cylinder?Answer:",No,no,left,True
"Question: <image>
Is the  purple metal cylinder to the right of the  brown metal cylinder?Answer:",No,no,right,True
"Question: <image>
Is the small blue rubber sphere to the left of the  purple metal cylinder?Answer:",No,no,left,True
"Question: <image>
Is the small blue rubber sphere to the right of the  cyan rubber cylinder?Answer:",Yes,yes,right,True
"Question: <image>
Is the  purple rubber cylinder in front of the  cyan rubber cylinder?Answer:",Yes,no,in front of,False
"Question: <image>
Is the large green metal cube to the right of the small brown rubber cylinder?Answer:",Yes,no,right,False
"Question: <image>
Is the small purple rubber cylinder in front of the large green metal cube?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small green metal cylinder in front of the small purple rubber cylinder?Answer:",No,no,in front of,True
"Question: <image>
Is the  yellow sphere in front of the large brown metal cube?Answer:",No,no,in front of,True
"Question: <image>
Is the small green rubber cube in front of the large brown metal cube?Answer:",Yes,no,in front of,False
"Question: <image>
Is the large green metal cube in front of the small brown metal cylinder?Answer:",No,no,in front of,True
"Question: <image>
Is the small purple rubber cylinder to the left of the large brown metal cube?Answer:",No,no,left,True
"Question: <image>
Is the large purple metal cube behind the  blue cylinder?Answer:",No,no,behind,True
"Question: <image>
Is the large brown metal cylinder behind the small gray rubber cylinder?Answer:",Yes,no,behind,False
"Question: <image>
Is the large brown metal cylinder behind the cube?Answer:",Yes,no,behind,False
"Question: <image>
Is the large red rubber cylinder in front of the large gray rubber cylinder?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small yellow rubber cube to the right of the large gray rubber cylinder?Answer:",Yes,yes,right,True
"Question: <image>
Is the large brown metal cube in front of the small yellow rubber cube?Answer:",No,no,in front of,True
"Question: <image>
Is the large gray cube behind the large cyan cube?Answer:",No,no,behind,True
"Question: <image>
Is the small green cube to the right of the large cyan cube?Answer:",Yes,no,right,False
"Question: <image>
Is the large gray cube to the left of the large green sphere?Answer:",Yes,no,left,False
"Question: <image>
Is the small yellow sphere to the right of the large red rubber cylinder?Answer:",Yes,no,right,False
"Question: <image>
Is the small gray rubber cylinder in front of the large cyan cube?Answer:",Yes,no,in front of,False
"Question: <image>
Is the sphere to the right of the  green rubber cylinder?Answer:",No,no,right,True
"Question: <image>
Is the  green rubber cylinder to the right of the sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the  yellow metal cylinder behind the small purple metal cube?Answer:",No,yes,behind,False
"Question: <image>
Is the  purple rubber cylinder to the left of the small blue rubber cube?Answer:",No,no,left,True
"Question: <image>
Is the  purple rubber cylinder in front of the  yellow metal cylinder?Answer:",No,no,in front of,True
"Question: <image>
Is the large brown rubber cube to the left of the  yellow metal cylinder?Answer:",Yes,no,left,False
"Question: <image>
Is the  purple rubber sphere to the left of the large yellow rubber cube?Answer:",No,no,left,True
"Question: <image>
Is the  red metal sphere to the left of the large brown rubber cube?Answer:",No,no,left,True
"Question: <image>
Is the  purple rubber sphere to the right of the small purple metal cube?Answer:",No,no,right,True
"Question: <image>
Is the large brown cylinder to the left of the cube?Answer:",No,no,left,True
"Question: <image>
Is the cube in front of the  green sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the  gray metal sphere in front of the small cyan rubber cube?Answer:",No,no,in front of,True
"Question: <image>
Is the small cyan metal cylinder to the left of the large purple metal cube?Answer:",Yes,no,left,False
"Question: <image>
Is the small cyan metal cylinder behind the large cyan rubber cylinder?Answer:",No,no,behind,True
"Question: <image>
Is the large purple metal cube to the right of the  blue rubber sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the small cyan metal cylinder behind the small blue rubber cylinder?Answer:",No,no,behind,True
"Question: <image>
Is the large purple metal cube in front of the small cyan rubber cube?Answer:",No,no,in front of,True
"Question: <image>
Is the large purple metal cube behind the small red metal cube?Answer:",Yes,no,behind,False
"Question: <image>
Is the  gray rubber cube behind the  gray metal cube?Answer:",No,yes,behind,False
"Question: <image>
Is the large brown rubber cylinder to the right of the  green rubber cube?Answer:",No,no,right,True
"Question: <image>
Is the large brown rubber cylinder behind the  gray rubber cube?Answer:",Yes,yes,behind,True
"Question: <image>
Is the  green rubber cube to the right of the  gray rubber cube?Answer:",Yes,no,right,False
"Question: <image>
Is the  gray rubber cube behind the small gray rubber sphere?Answer:",Yes,no,behind,False
"Question: <image>
Is the large purple rubber sphere to the left of the small cyan metal cylinder?Answer:",No,no,left,True
"Question: <image>
Is the  brown metal cube to the right of the large brown metal sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the large yellow rubber cylinder to the right of the large purple rubber sphere?Answer:",No,no,right,True
"Question: <image>
Is the large yellow rubber cylinder to the left of the small cyan metal cylinder?Answer:",Yes,no,left,False
"Question: <image>
Is the large purple rubber sphere in front of the  brown metal cube?Answer:",Yes,no,in front of,False
"Question: <image>
Is the  red metal cube to the right of the small cyan rubber cylinder?Answer:",No,no,right,True
"Question: <image>
Is the large blue rubber cylinder in front of the large red metal cube?Answer:",No,no,in front of,True
"Question: <image>
Is the large gray metal sphere to the right of the small purple rubber sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the large gray metal sphere to the left of the large red rubber sphere?Answer:",No,yes,left,False
"Question: <image>
Is the small purple rubber sphere to the left of the large blue rubber cylinder?Answer:",Yes,no,left,False
"Question: <image>
Is the  purple rubber cylinder behind the large cyan cube?Answer:",No,no,behind,True
"Question: <image>
Is the large cyan cube to the right of the  yellow metal cylinder?Answer:",No,no,right,True
"Question: <image>
Is the large purple cube in front of the  yellow metal cylinder?Answer:",Yes,no,in front of,False
"Question: <image>
Is the large purple cube behind the large gray metal sphere?Answer:",No,no,behind,True
"Question: <image>
Is the large brown rubber cylinder in front of the small brown metal cylinder?Answer:",No,yes,in front of,False
"Question: <image>
Is the small gray metal cube to the right of the  blue metal sphere?Answer:",No,no,right,True
"Question: <image>
Is the  purple metal cylinder to the right of the  brown metal cylinder?Answer:",Yes,no,right,False
"Question: <image>
Is the large blue rubber cube to the right of the  blue metal sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the small blue metal cube behind the  green rubber cylinder?Answer:",Yes,yes,behind,True
"Question: <image>
Is the sphere in front of the small green metal cylinder?Answer:",No,no,in front of,True
"Question: <image>
Is the large cyan rubber cylinder to the right of the small green metal cylinder?Answer:",Yes,no,right,False
"Question: <image>
Is the large yellow rubber cube in front of the large red rubber cube?Answer:",No,yes,in front of,False
"Question: <image>
Is the large yellow rubber cube in front of the sphere?Answer:",No,no,in front of,True
"Question: <image>
Is the small brown metal cube to the left of the sphere?Answer:",Yes,no,left,False
"Question: <image>
Is the small sphere behind the cylinder?Answer:",No,no,behind,True
"Question: <image>
Is the large green metal cylinder behind the small red rubber cube?Answer:",Yes,no,behind,False
"Question: <image>
Is the  gray sphere to the right of the large purple rubber cube?Answer:",No,yes,right,False
"Question: <image>
Is the small green rubber cylinder to the left of the large gray rubber cylinder?Answer:",Yes,no,left,False
"Question: <image>
Is the  blue sphere to the right of the small gray metal cylinder?Answer:",Yes,no,right,False
"Question: <image>
Is the large purple rubber cube to the left of the small green rubber cylinder?Answer:",No,no,left,True
"Question: <image>
Is the large green metal cylinder behind the  gray sphere?Answer:",Yes,no,behind,False
"Question: <image>
Is the small gray metal cylinder in front of the large brown rubber cube?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small green metal cube to the left of the sphere?Answer:",Yes,no,left,False
"Question: <image>
Is the large blue rubber cube behind the large red metal cube?Answer:",Yes,yes,behind,True
"Question: <image>
Is the large blue rubber cube in front of the sphere?Answer:",No,no,in front of,True
"Question: <image>
Is the sphere to the left of the large blue rubber cube?Answer:",Yes,no,left,False
"Question: <image>
Is the small blue metal cube to the right of the  blue rubber cylinder?Answer:",Yes,no,right,False
"Question: <image>
Is the  brown metal cube to the right of the  yellow sphere?Answer:",No,no,right,True
"Question: <image>
Is the  red sphere to the left of the  brown metal cube?Answer:",Yes,no,left,False
"Question: <image>
Is the  purple rubber cube in front of the  red rubber cylinder?Answer:",No,no,in front of,True
"Question: <image>
Is the small cyan rubber cylinder to the right of the small red sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the small gray rubber sphere to the right of the small gray cube?Answer:",Yes,no,right,False
"Question: <image>
Is the small brown rubber cube in front of the small brown metal cube?Answer:",No,no,in front of,True
"Question: <image>
Is the small brown rubber cube behind the large gray metal sphere?Answer:",No,no,behind,True
"Question: <image>
Is the small brown rubber cube in front of the large purple rubber sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small brown rubber cube behind the large brown rubber sphere?Answer:",Yes,no,behind,False
"Question: <image>
Is the small gray rubber sphere behind the small gray metal sphere?Answer:",No,yes,behind,False
"Question: <image>
Is the  green rubber cube behind the  yellow metal cube?Answer:",No,no,behind,True
"Question: <image>
Is the large red metal sphere to the left of the small red rubber cube?Answer:",No,no,left,True
"Question: <image>
Is the small purple rubber sphere in front of the large brown metal cylinder?Answer:",Yes,no,in front of,False
"Question: <image>
Is the large blue metal cube in front of the large brown metal cylinder?Answer:",No,no,in front of,True
"Question: <image>
Is the large brown metal cylinder behind the large red metal sphere?Answer:",No,no,behind,True
"Question: <image>
Is the small cyan rubber cube in front of the small purple rubber cylinder?Answer:",Yes,no,in front of,False
"Question: <image>
Is the large yellow metal sphere behind the small cyan rubber cube?Answer:",Yes,no,behind,False
"Question: <image>
Is the small green rubber sphere to the left of the large yellow metal sphere?Answer:",No,no,left,True
"Question: <image>
Is the  red metal cube to the left of the  red cylinder?Answer:",No,no,left,True
"Question: <image>
Is the small green rubber cylinder behind the large brown metal cylinder?Answer:",Yes,no,behind,False
"Question: <image>
Is the large brown metal cylinder behind the small red metal cylinder?Answer:",No,no,behind,True
"Question: <image>
Is the  blue sphere in front of the  green cylinder?Answer:",No,no,in front of,True
"Question: <image>
Is the cylinder to the right of the small gray cube?Answer:",No,no,right,True
"Question: <image>
Is the cylinder to the right of the  gray sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the small brown cube behind the  red sphere?Answer:",Yes,no,behind,False
"Question: <image>
Is the  brown sphere in front of the large cyan cube?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small gray metal cylinder to the left of the small red rubber cylinder?Answer:",Yes,no,left,False
"Question: <image>
Is the small brown rubber cylinder behind the large purple rubber sphere?Answer:",Yes,no,behind,False
"Question: <image>
Is the large purple metal cylinder to the left of the small brown rubber cylinder?Answer:",Yes,no,left,False
"Question: <image>
Is the small gray metal cylinder in front of the large purple rubber sphere?Answer:",No,no,in front of,True
"Question: <image>
Is the small brown rubber cylinder in front of the large purple rubber sphere?Answer:",No,no,in front of,True
"Question: <image>
Is the large purple rubber sphere in front of the large red metal cylinder?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small gray metal cylinder in front of the small gray metal sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the large green cube to the left of the small gray cube?Answer:",Yes,no,left,False
"Question: <image>
Is the large purple cube to the left of the large yellow rubber sphere?Answer:",Yes,no,left,False
"Question: <image>
Is the  cyan rubber cylinder behind the small red metal sphere?Answer:",No,no,behind,True
"Question: <image>
Is the small purple metal cylinder to the left of the large cyan metal cylinder?Answer:",Yes,no,left,False
"Question: <image>
Is the large cyan metal cylinder in front of the small cyan metal cube?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small purple metal cylinder to the left of the large green rubber cylinder?Answer:",Yes,no,left,False
"Question: <image>
Is the large cyan metal cylinder to the left of the small cyan metal cube?Answer:",Yes,no,left,False
"Question: <image>
Is the large red rubber sphere behind the small brown rubber cube?Answer:",No,no,behind,True
"Question: <image>
Is the small brown rubber cube in front of the large brown metal sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the  gray sphere to the left of the cylinder?Answer:",Yes,no,left,False
"Question: <image>
Is the  red metal sphere in front of the cylinder?Answer:",No,no,in front of,True
"Question: <image>
Is the large purple rubber sphere in front of the small green metal sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the large purple rubber sphere in front of the large yellow rubber sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the large blue cylinder in front of the cube?Answer:",No,no,in front of,True
"Question: <image>
Is the large yellow metal sphere in front of the large brown rubber sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the large blue metal sphere in front of the large cube?Answer:",No,no,in front of,True
"Question: <image>
Is the large brown metal sphere to the right of the small gray rubber cylinder?Answer:",Yes,no,right,False
"Question: <image>
Is the large cube in front of the large purple metal cylinder?Answer:",No,no,in front of,True
"Question: <image>
Is the large gray metal cylinder behind the large red metal cube?Answer:",No,no,behind,True
"Question: <image>
Is the small cyan rubber cylinder to the right of the large red metal cube?Answer:",No,no,right,True
"Question: <image>
Is the small green rubber cube in front of the large red metal cube?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small green metal cube to the right of the  blue metal sphere?Answer:",No,no,right,True
"Question: <image>
Is the  gray rubber sphere to the left of the large yellow rubber cube?Answer:",No,no,left,True
"Question: <image>
Is the cylinder in front of the  cyan metal sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the  blue metal cube to the right of the  brown rubber cube?Answer:",Yes,no,right,False
"Question: <image>
Is the  brown rubber cube to the right of the small gray rubber cylinder?Answer:",No,no,right,True
"Question: <image>
Is the small purple rubber cylinder to the left of the small yellow metal cylinder?Answer:",No,no,left,True
"Question: <image>
Is the small green metal cylinder in front of the  yellow sphere?Answer:",No,no,in front of,True
"Question: <image>
Is the large red metal cylinder to the right of the  brown sphere?Answer:",No,no,right,True
"Question: <image>
Is the large blue metal cube in front of the  yellow sphere?Answer:",No,no,in front of,True
"Question: <image>
Is the large red metal cylinder to the left of the large blue metal cube?Answer:",Yes,no,left,False
"Question: <image>
Is the large blue metal cube to the right of the large brown metal cube?Answer:",Yes,no,right,False
"Question: <image>
Is the small blue rubber cylinder to the left of the sphere?Answer:",Yes,no,left,False
"Question: <image>
Is the large red metal cylinder to the left of the cube?Answer:",No,no,left,True
"Question: <image>
Is the small brown metal cylinder to the left of the large blue rubber cylinder?Answer:",No,no,left,True
"Question: <image>
Is the large blue metal cylinder to the right of the large green metal cylinder?Answer:",Yes,no,right,False
"Question: <image>
Is the  yellow rubber cylinder in front of the small cyan rubber cube?Answer:",Yes,yes,in front of,True
"Question: <image>
Is the  yellow rubber cylinder to the right of the sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the small yellow rubber sphere in front of the small purple metal sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the large blue metal sphere in front of the large brown metal cube?Answer:",No,yes,in front of,False
"Question: <image>
Is the small purple metal sphere to the right of the small purple rubber cube?Answer:",No,no,right,True
"Question: <image>
Is the small purple rubber cylinder to the right of the  brown metal cube?Answer:",Yes,no,right,False
"Question: <image>
Is the large cyan metal cylinder behind the  purple rubber cube?Answer:",Yes,no,behind,False
"Question: <image>
Is the small purple metal cube in front of the small cyan rubber cube?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small yellow rubber cube behind the small purple metal cube?Answer:",Yes,no,behind,False
"Question: <image>
Is the small yellow rubber cube to the right of the large green rubber cube?Answer:",No,no,right,True
"Question: <image>
Is the large brown rubber cylinder in front of the small blue metal sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the small blue metal sphere to the left of the small cyan cube?Answer:",Yes,no,left,False
"Question: <image>
Is the large purple metal cylinder to the right of the large yellow rubber sphere?Answer:",No,no,right,True
"Question: <image>
Is the large red rubber sphere in front of the large brown cube?Answer:",No,no,in front of,True
"Question: <image>
Is the large yellow rubber sphere to the right of the large brown rubber cylinder?Answer:",Yes,no,right,False
"Question: <image>
Is the large brown rubber cylinder to the left of the large yellow rubber sphere?Answer:",Yes,no,left,False
"Question: <image>
Is the large yellow rubber sphere behind the small cyan cube?Answer:",No,no,behind,True
"Question: <image>
Is the small blue rubber sphere to the left of the small green rubber sphere?Answer:",No,no,left,True
"Question: <image>
Is the large brown rubber cylinder behind the large red rubber sphere?Answer:",No,yes,behind,False
"Question: <image>
Is the small brown metal sphere to the left of the small yellow metal cylinder?Answer:",Yes,no,left,False
"Question: <image>
Is the small blue rubber sphere to the left of the large purple metal sphere?Answer:",Yes,no,left,False
"Question: <image>
Is the large cyan rubber cube behind the small purple rubber cube?Answer:",Yes,yes,behind,True
"Question: <image>
Is the sphere in front of the large purple metal cube?Answer:",Yes,yes,in front of,True
"Question: <image>
Is the small yellow metal cube to the right of the large purple metal cube?Answer:",No,no,right,True
"Question: <image>
Is the large cyan rubber cube in front of the sphere?Answer:",No,yes,in front of,False
"Question: <image>
Is the large cyan rubber cube in front of the large purple metal cube?Answer:",No,no,in front of,True
"Question: <image>
Is the large yellow rubber sphere in front of the  yellow cube?Answer:",Yes,no,in front of,False
"Question: <image>
Is the  gray rubber sphere behind the large yellow rubber cylinder?Answer:",No,no,behind,True
"Question: <image>
Is the large yellow rubber cylinder behind the  blue rubber sphere?Answer:",Yes,yes,behind,True
"Question: <image>
Is the large yellow rubber cylinder to the left of the  blue rubber sphere?Answer:",Yes,no,left,False
"Question: <image>
Is the small gray metal cylinder to the right of the  blue rubber sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the  metal cube to the left of the small cyan metal sphere?Answer:",No,no,left,True
"Question: <image>
Is the  red metal cylinder to the left of the cube?Answer:",Yes,no,left,False
"Question: <image>
Is the sphere to the left of the small red cube?Answer:",No,no,left,True
"Question: <image>
Is the sphere behind the small cyan metal cylinder?Answer:",Yes,no,behind,False
"Question: <image>
Is the large cyan metal cylinder to the right of the small red cube?Answer:",No,no,right,True
"Question: <image>
Is the small cyan cylinder in front of the large red cylinder?Answer:",Yes,no,in front of,False
"Question: <image>
Is the  green rubber cube behind the small cyan cylinder?Answer:",Yes,no,behind,False
"Question: <image>
Is the small purple metal cylinder in front of the large metal sphere?Answer:",No,no,in front of,True
"Question: <image>
Is the small purple metal cylinder to the right of the cube?Answer:",No,no,right,True
"Question: <image>
Is the small purple metal cylinder to the right of the small metal sphere?Answer:",Yes,no,right,False
